VUC 831,3300
HNP 308,3300
R99 AND,3000
E10 TTT,3000
4000 XJ,3000
BG 4758,2800
709 EAL,2800
222 FBO,2800
FFF 293,2800
998 KPO,2800
BG 4785,2800
URS 14A,2800
C1 WWC,2800
P2 YOU,2800
WCZ 18,2800
6278 AW,2700
8269 AW,2700
F8 WNS,2600
HWC 68,2600
G15 ALO,2500
756 HJJ,2500
CSE 298,2500
F47 LEO,2500
B8 AUO,2500
V6 MWD,2500
V6 SOP,2500
80 XVO,2500
159 JFJ,2300
Y10 YDS,2300
N6 WMW,2300
WBK 598,2100
JYL 2W,2100
227 GMO,2000
HBC 705,2000
PRE 35E,2000
RHJ 895,2000
822 THW,2000
TPE 457,2000
T7 BHP,2000
72 BNW,2000
R6 NOW,2000
77 NXG,2000
M5 TOG,2000
88 UOX,2000
66 OXV,2000
NDL 222,1950
168 ATP,1900
FLA 55K,1900
BKL 1N,1900
VDF 93,1900
M38 ALL,1800
971 APO,1800
J16 ARC,1800
211 FBB,1800
FHR 947,1800
8026 HA,1800
H60 HEM,1800
LGF 797,1800
MXI 795,1800
L11 NOK,1800
V12 USB,1800
710 UXV,1800
VJV 306,1800
MXI 52,1800
B1 SVT,1800
KBG 785,1700
167 KHW,1700
540 LHA,1700
MGL 446,1700
E5 AUD,1700
YKZ 20,1700
YAP 461,1600
G5 AYX,1600
H19 ARC,1500
B13 BOX,1500
P62 BUG,1500
M12 CFD,1500
J80 FMC,1500
C11 MUP,1500
NTY 742,1500
V12 OOR,1500
V40 SLK,1500
935 VPD,1500
50 OXH,1500
S7 SGO,1500
V1 YCK,1500
